Country,Alcohol_Consumption,GDP,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk_religion,Other_religion,Jewish,Democracy,Education,Wine,Year,Depression,Homicides,"Drug_deaths_per_100,000",Median_age,Population,conflict_deaths,deaths_to_pop_rate,elec_acc_pct_pop,Urban_population,Rural_population,pct_female,urban_pop_share,suicide_death_rate
Afghanistan,0.0,345.93,0.01,99.7,0.0,0.0,0.0,0.0,0.06,0.0,0.3,1.69,0.0,2005,848531.0,2467.0,1.59,14.2,24411196.0,2114.0,8.659960781929734e-05,25.390893936157227,5824290.0,19829984.0,48.39189910888672,22.7,8.1
Albania,7.65,2675.51,18.0,80.3,1.4,0.0,0.0,0.0,0.2,0.0,0.42,9.08,17144.0,2005,76933.0,158.0,0.78,29.1,3032636.0,10.0,3.2974613504555114e-06,100.0,1407298.0,1604189.0,49.72236633300781,46.73,5.5
Algeria,0.81,3752.1,1.0,98.0,1.8,0.0,0.0,0.2,0.0,0.8,0.25,7.04,90000.0,2005,1313898.0,488.0,1.27,23.1,32956690.0,324.0,9.831084371640477e-06,98.88961029052734,21159466.0,11990254.0,49.42332077026367,63.83,4.6
Andorra,12.55,39782.93,89.5,0.8,8.8,0.5,0.0,0.0,0.1,0.3,0,10.09,0.0,2005,3297.0,,0.31,36.8,79845.0,0.0,0.0,100.0,71209.0,7662.0,0.5,90.29,7.8
Angola,4.89,3220.08,90.5,1.0,5.1,0.0,0.0,4.2,0.0,0.0,0.09,3.63,0.0,2005,746581.0,2346.0,0.36,15.9,19450962.0,11.0,5.655247282885032e-07,29.52778625488281,10882818.0,8550786.0,50.39793014526367,56.0,14.5
Antigua and Barbuda,5.37,15122.19,93.0,0.6,1.7,0.2,0.0,3.6,1.0,0.0,0,9.12,0.0,2005,2509.0,5.0,0.56,28.8,79879.0,0.0,0.0,92.1999969482422,23802.0,57660.0,52.57911682128906,29.22,2.6
Argentina,8.66,11192.18,85.2,1.0,12.2,0.0,0.05,0.8,0.3,0.5,0.63,10.1,1522200.0,2005,1038150.0,2308.0,0.11,27.7,39070504.0,0.0,0.0,96.86384582519533,35015688.0,3877236.0,51.41181564331055,90.03,10.7
Armenia,5.79,2364.18,98.5,0.0,1.3,0.0,0.0,0.0,0.1,0.0,0.18,10.77,7305.0,2005,101421.0,123.0,0.21,30.1,3047254.0,1.0,3.281643079310094e-07,99.8000030517578,1906159.0,1075103.0,52.977294921875,63.94,6.1
Australia,12.08,50332.88,43.9,3.2,38.9,2.7,2.4,1.3,0.8,0.4,0.8,11.55,1433827.0,2005,1055981.0,255.0,3.74,35.5,20171732.0,0.0,0.0,100.0,17250330.0,3144470.0,50.09516143798828,84.58,10.5
Austria,12.79,41281.27,68.2,8.3,13.5,0.0,0.2,0.0,0.1,0.0,0.77,11.56,226402.0,2005,311974.0,70.0,2.48,38.9,8227034.0,0.0,0.0,100.0,4839033.0,3388796.0,51.39052200317383,58.81,13.5
Azerbaijan,1.81,2631.76,3.0,96.9,0.0,0.0,0.0,0.0,0.0,0.0,0.05,10.58,4378.0,2005,228260.0,223.0,0.35,26.0,8656243.0,24.0,2.7725654189698693e-06,99.22159576416016,4396406.0,3995444.0,50.7319221496582,52.39,4.4
Bahamas,4.28,35637.79,96.0,0.1,3.1,0.0,0.0,0.3,0.3,0.0,0,11.45,0.0,2005,9929.0,57.0,0.43,27.2,347815.0,0.0,0.0,100.0,267084.0,57764.0,51.43174743652344,82.22,2.7
Bahrain,1.76,22343.54,14.5,70.3,1.9,9.8,2.5,0.0,0.2,0.6,0.14,8.2,0.0,2005,46482.0,8.0,0.28,26.7,901928.0,0.0,0.0,100.0,786210.0,102947.0,39.9273681640625,88.42,8.5
Bangladesh,0.16,769.14,0.3,91.04,0.0,7.95,0.61,0.4,0.12,0.0,0.19,4.72,0.0,2005,5193671.0,4320.0,0.2,21.0,140912590.0,123.0,8.728815501865376e-07,44.22999954223633,37274029.0,101761476.0,48.77452850341797,26.81,7.0
Barbados,7.4,16921.94,95.2,1.0,1.9,0.4,0.0,0.0,1.4,0.0,0.65,9.52,0.0,2005,9267.0,33.0,0.24,34.0,269489.0,0.0,0.0,99.98045349121094,90746.0,185574.0,51.995513916015625,32.84,4.1
Belarus,15.3,3880.01,71.2,0.2,28.6,0.0,0.0,0.0,0.0,0.0,0.09,10.82,15720.0,2005,492573.0,898.0,3.37,37.0,9935166.0,0.0,0.0,100.0,6992229.0,2671686.0,53.31575775146485,72.35,35.2
Belgium,13.13,38426.05,64.25,5.9,29.0,0.0,0.2,0.2,0.0,0.3,0.79,11.03,4000.0,2005,407050.0,199.0,1.39,39.1,10516979.0,2.0,1.9016867866713436e-07,100.0,10206487.0,272130.0,50.94063186645508,97.4,16.9
Belize,7.16,4773.62,87.6,0.1,8.9,0.2,0.5,1.5,0.1,1.0,0,8.03,0.0,2005,7988.0,83.0,0.24,19.6,280386.0,0.0,0.0,83.50477600097656,128597.0,155201.0,49.73114776611328,45.31,7.8
Benin,2.23,943.63,48.0,28.0,6.0,0.0,0.0,18.0,0.0,0.0,0.57,2.64,0.0,2005,233136.0,570.0,0.18,16.5,8149420.0,0.0,0.0,26.20980453491211,3236233.0,4745990.0,50.44736099243164,40.54,12.0
Bhutan,1.6,1489.21,0.0,0.0,0.0,25.0,74.7,1.9,0.0,0.0,0.21,7.540303030303032,0.0,2005,22389.0,14.0,0.25,21.1,663332.0,0.0,0.0,59.80811309814453,200884.0,447860.0,47.56606674194336,30.97,6.7
Bolivia,4.37,2186.19,93.9,0.0,4.1,0.0,0.0,0.9,1.0,0.0,0.64,6.97,7223.0,2005,274804.0,649.0,0.49,20.3,9377395.0,0.0,0.0,68.2882080078125,5924368.0,3307933.0,49.660186767578125,64.17,7.7
Bosnia and Herzegovina,7.2,3501.56,45.9,50.7,2.5,0.0,0.0,0.0,0.0,0.0,0.45,6.22,5042.0,2005,141178.0,83.0,0.17,35.1,4094297.0,0.0,0.0,100.0,1655428.0,2109904.0,50.88042831420898,43.97,9.6
Botswana,9.61,4986.33,72.1,0.4,20.6,0.3,0.0,6.0,0.6,0.0,0.62,8.28,0.0,2005,65220.0,319.0,0.43,19.8,1892819.0,0.0,0.0,37.51417922973633,1006476.0,792601.0,51.37117385864258,55.94,27.5
Brazil,8.32,7352.28,95.9,0.02,7.9,0.0,0.1,2.8,0.2,0.06,0.81,6.15,319900.0,2005,8529118.0,57666.0,0.19,26.1,186797340.0,34.0,1.8201543983442162e-07,97.09351348876952,154176529.0,31950579.0,50.570289611816406,82.83,6.3
Brunei,0.21,34441.12,9.4,75.1,0.4,0.5,8.6,6.2,0.1,0.0,0,8.48,0.0,2005,5554.0,4.0,0.78,24.0,366728.0,0.0,0.0,100.0,267127.0,97985.0,48.93922805786133,73.16,5.1
